Latitude   Longitude
 -48.571     7.500
 -50.475     7.500
 -52.380     7.500
 -54.285     7.500
 -56.189     7.500
 -58.094     7.500
 -59.999     7.500
 -61.903     7.500
 -63.808     7.500
 -65.713     7.500
 -67.617     7.500
 -69.522     7.500
 -71.426     7.500
 -73.331     7.500
 -75.235     7.500
 -77.139     7.500
 -79.043     7.500
 -80.947     7.500
 -82.851     7.500
 -84.753     7.500
 -86.653     7.500
 -88.542     7.500
  88.542     9.375
  86.653     9.375
  84.753     9.375
  82.851     9.375
  80.947     9.375
  79.043     9.375
  77.139     9.375
  75.235     9.375
  73.331     9.375
  71.426     9.375
  69.522     9.375
  67.617     9.375
  65.713     9.375
  63.808     9.375
  61.903     9.375
  59.999     9.375
  58.094     9.375
  56.189     9.375
  54.285     9.375
  52.380     9.375
  50.475     9.375
  48.571     9.375
  46.666     9.375
  44.761     9.375
  42.856     9.375
  40.952     9.375
  39.047     9.375
  37.142     9.375
  35.237     9.375
  33.333     9.375
  31.428     9.375
  29.523     9.375
  27.619     9.375
  25.714     9.375
  23.809     9.375
  21.904     9.375
  20.000     9.375
  18.095     9.375
  16.190     9.375
  14.286     9.375
  12.381     9.375
  10.476     9.375
   8.571     9.375
   6.667     9.375
   4.762     9.375
   2.857     9.375
   0.952     9.375
  -0.952     9.375
  -2.857     9.375
  -4.762     9.375
  -6.667     9.375
  -8.571     9.375
 -10.476     9.375
 -12.381     9.375
 -14.286     9.375
 -16.190     9.375
 -18.095     9.375
 -20.000     9.375
 -21.904     9.375
 -23.809     9.375
 -25.714     9.375
 -27.619     9.375
 -29.523     9.375
 -31.428     9.375
 -33.333     9.375
 -35.237     9.375
 -37.142     9.375
 -39.047     9.375
 -40.952     9.375
 -42.856     9.375
 -44.761     9.375
 -46.666     9.375
 -48.571     9.375
 -50.475     9.375
 -52.380     9.375
 -54.285     9.375
 -56.189     9.375
 -58.094     9.375
 -59.999     9.375
 -61.903     9.375
 -63.808     9.375
 -65.713     9.375
 -67.617     9.375
 -69.522     9.375
 -71.426     9.375
 -73.331     9.375
 -75.235     9.375
 -77.139     9.375
 -79.043     9.375
 -80.947     9.375
 -82.851     9.375
 -84.753     9.375
 -86.653     9.375
 -88.542     9.375
  88.542    11.250
  86.653    11.250
  84.753    11.250
  82.851    11.250
  80.947    11.250
  79.043    11.250
  77.139    11.250
  75.235    11.250
  73.331    11.250
  71.426    11.250
  69.522    11.250
  67.617    11.250
  65.713    11.250
  63.808    11.250
  61.903    11.250
  59.999    11.250
  58.094    11.250
  56.189    11.250
  54.285    11.250
  52.380    11.250
  50.475    11.250
  48.571    11.250
  46.666    11.250
  44.761    11.250
  42.856    11.250
  40.952    11.250
  39.047    11.250
  37.142    11.250
  35.237    11.250
  33.333    11.250
  31.428    11.250
  29.523    11.250
  27.619    11.250
  25.714    11.250
  23.809    11.250
  21.904    11.250
  20.000    11.250
  18.095    11.250
  16.190    11.250
  14.286    11.250
  12.381    11.250
  10.476    11.250
   8.571    11.250
   6.667    11.250
   4.762    11.250
   2.857    11.250
   0.952    11.250
  -0.952    11.250
  -2.857    11.250
  -4.762    11.250
  -6.667    11.250
  -8.571    11.250
 -10.476    11.250
 -12.381    11.250
 -14.286    11.250
 -16.190    11.250
 -18.095    11.250
 -20.000    11.250
 -21.904    11.250
 -23.809    11.250
 -25.714    11.250
 -27.619    11.250
 -29.523    11.250
 -31.428    11.250
 -33.333    11.250
 -35.237    11.250
 -37.142    11.250
 -39.047    11.250
 -40.952    11.250
 -42.856    11.250
 -44.761    11.250
 -46.666    11.250
 -48.571    11.250
 -50.475    11.250
 -52.380    11.250
 -54.285    11.250
 -56.189    11.250
 -58.094    11.250
 -59.999    11.250
 -61.903    11.250
 -63.808    11.250
 -65.713    11.250
 -67.617    11.250
 -69.522    11.250
 -71.426    11.250
 -73.331    11.250
 -75.235    11.250
 -77.139    11.250
 -79.043    11.250
 -80.947    11.250
 -82.851    11.250
 -84.753    11.250
 -86.653    11.250
 -88.542    11.250
  88.542    13.125
  86.653    13.125
  84.753    13.125
  82.851    13.125
  80.947    13.125
  79.043    13.125
  77.139    13.125
  75.235    13.125
  73.331    13.125
  71.426    13.125
  69.522    13.125
  67.617    13.125
  65.713    13.125
  63.808    13.125
  61.903    13.125
  59.999    13.125
  58.094    13.125
  56.189    13.125
  54.285    13.125
  52.380    13.125
  50.475    13.125
  48.571    13.125
  46.666    13.125
  44.761    13.125
  42.856    13.125
  40.952    13.125
  39.047    13.125
  37.142    13.125
  35.237    13.125
  33.333    13.125
  31.428    13.125
  29.523    13.125
  27.619    13.125
  25.714    13.125
  23.809    13.125
  21.904    13.125
  20.000    13.125
  18.095    13.125
  16.190    13.125
  14.286    13.125
  12.381    13.125
  10.476    13.125
   8.571    13.125
   6.667    13.125
   4.762    13.125
   2.857    13.125
   0.952    13.125
  -0.952    13.125
  -2.857    13.125
  -4.762    13.125
  -6.667    13.125
  -8.571    13.125
 -10.476    13.125
 -12.381    13.125
 -14.286    13.125
 -16.190    13.125
 -18.095    13.125
 -20.000    13.125
 -21.904    13.125
 -23.809    13.125
 -25.714    13.125
 -27.619    13.125
 -29.523    13.125
 -31.428    13.125
 -33.333    13.125
 -35.237    13.125
 -37.142    13.125
 -39.047    13.125
 -40.952    13.125
 -42.856    13.125
 -44.761    13.125
 -46.666    13.125
 -48.571    13.125
 -50.475    13.125
 -52.380    13.125
 -54.285    13.125
 -56.189    13.125
 -58.094    13.125
 -59.999    13.125
 -61.903    13.125
 -63.808    13.125
 -65.713    13.125
 -67.617    13.125
 -69.522    13.125
 -71.426    13.125
 -73.331    13.125
 -75.235    13.125
 -77.139    13.125
 -79.043    13.125
 -80.947    13.125
 -82.851    13.125
 -84.753    13.125
 -86.653    13.125
 -88.542    13.125
  88.542    15.000
  86.653    15.000
  84.753    15.000
  82.851    15.000
  80.947    15.000
  79.043    15.000
  77.139    15.000
  75.235    15.000
  73.331    15.000
  71.426    15.000
  69.522    15.000
  67.617    15.000
  65.713    15.000
  63.808    15.000
  61.903    15.000
  59.999    15.000
  58.094    15.000
  56.189    15.000
  54.285    15.000
  52.380    15.000
  50.475    15.000
  48.571    15.000
  46.666    15.000
  44.761    15.000
  42.856    15.000
  40.952    15.000
  39.047    15.000
  37.142    15.000
  35.237    15.000
  33.333    15.000
  31.428    15.000
  29.523    15.000
  27.619    15.000
  25.714    15.000
  23.809    15.000
  21.904    15.000
  20.000    15.000
  18.095    15.000
  16.190    15.000
  14.286    15.000
  12.381    15.000
  10.476    15.000
   8.571    15.000
   6.667    15.000
   4.762    15.000
   2.857    15.000
   0.952    15.000
  -0.952    15.000
  -2.857    15.000
  -4.762    15.000
  -6.667    15.000
  -8.571    15.000
 -10.476    15.000
